Region Code,annual_ntl_sum
IDN,2052242.8
MYS,997597.44
CHL,686337.7
BOL,222917.23
PER,511139.84
ARG,2743366.8
GB1,1862.28
CYP,96040.77
IND,14208634.0
CH1,1956.26
IS1,196482.95
LBN,332670.0
ETH,50352.08
SDS,2361.83
SOM,3018.58
KEN,100059.31
MWI,37409.86
TZA,82068.32
SYR,1147630.2
SOL,2557.68
FR1,0.0
SUR,23817.58
GUY,17926.86
KOR,2519452.2
PRK,32288.9
MAR,526206.06
SAH,263.49
CRI,232121.86
NIC,84674.85
COG,19856.32
COD,68710.36
BTN,5711.56
UKR,2811878.5
BLR,677640.2
NAM,61419.18
ZAF,2340567.2
NL1,8242.68
OMN,551313.56
UZB,1191648.2
KA1,4889.91
TJK,154391.14
LTU,325311.1
BRA,8199328.5
URY,216547.28
MNG,53290.36
CZE,1757705.1
DEU,9339074.0
EST,342580.72
LVA,187055.7
SWE,4822629.5
FI1,12228.56
VNM,547038.4
KHM,15493.42
LUX,103732.0
ARE,738847.8
BEL,1943465.0
GEO,39163.34
MKD,145343.7
ALB,73028.9
AZE,226677.88
KOS,45722.64
TUR,2470227.0
ESP,5613067.0
LAO,21478.37
KGZ,176212.28
ARM,40072.57
DN1,14447.13
LBY,922159.94
TUN,580629.5
ROU,1072679.8
HUN,942490.2
SVK,707695.1
POL,4595922.5
IRL,838155.6
GRC,1173118.0
ZMB,96956.34
SLE,1494.8
GIN,17947.15
LBR,2699.83
CAF,5797.55
SDN,170309.78
DJI,3173.49
ERI,8507.5
AUT,1172464.8
IRQ,1027225.4
ITA,7588073.0
CHE,1032983.8
IRN,4863288.5
LIE,6724.19
CIV,180312.73
SRB,641974.9
MLI,26571.18
SEN,39706.48
NGA,1340404.2
BEN,27436.69
AGO,73772.58
HRV,596002.44
SVN,338111.0
QAT,197577.64
SAU,3158383.2
BWA,55636.94
ZWE,164298.83
PAK,3078720.8
BGR,493376.03
THA,1754885.2
SMR,4315.38
HTI,16655.36
DOM,230543.9
TCD,6762.52
KWT,339152.47
SLV,138994.45
GTM,215054.78
TLS,2168.09
BRN,45656.36
MCO,1740.44
DZA,1634816.5
MOZ,45586.33
SWZ,33657.88
BDI,4741.36
RWA,6243.82
MMR,139190.47
BGD,374472.0
AND,15646.18
AFG,24088.12
MNE,42055.82
BIH,285484.97
UGA,25309.42
CU1,247758.31
HND,135897.2
ECU,543098.44
COL,1338164.0
PRY,222120.7
BRI,0.0
PRT,1269706.6
MDA,125690.46
TKM,396577.56
JOR,288181.5
NPL,64678.62
LSO,13928.73
CMR,48219.02
GAB,96742.76
NER,25624.29
BFA,28183.67
TGO,21242.65
GHA,184048.34
GNB,751.4
US1,7937.96
MEX,5731840.0
BLZ,17692.07
PAN,97730.81
VEN,1757798.5
PNG,44245.64
EGY,2413194.5
YEM,260793.31
MRT,18533.94
GNQ,10357.71
GMB,4326.67
VAT,0.0
CYN,37285.98
CNM,9933.27
KAS,0.0
SPI,0.0
BRT,0.0
AU1,0.0
FJI,14808.57
NZ1,60.33
MDG,23261.75
PHL,471062.1
LKA,333033.53
BHS,30053.34
TWN,797018.4
JPN,7792487.5
ISL,26943.0
SYC,3185.82
MHL,330.39
TTO,82199.44
GRD,3165.04
VCT,3193.27
BRB,16584.68
LCA,8585.54
DMA,2619.26
ATG,6943.46
KNA,4061.49
JAM,142363.81
MUS,38497.19
COM,1437.2
STP,1699.42
CPV,7520.5
MLT,22023.68
SGP,37382.19
TON,1616.61
WSM,1457.98
SLB,1278.1
TUV,20.29
MDV,1147.89
NRU,446.66
FSM,1651.47
VUT,2585.09
PLW,933.07
BHR,37556.62
PGA,0.0
BJN,0.0
SER,0.0
SCR,0.0
