Region Code,annual_ntl_sum
IDN,1646732.5
MYS,1130668.0
CHL,1081622.0
BOL,426839.12
PER,600424.1
ARG,4909893.0
GB1,8038.83
CYP,76560.92
IND,9938162.0
CH1,12267.29
IS1,178753.4
LBN,218544.14
ETH,107461.08
SDS,242416.12
SOM,33846.02
KEN,172171.69
MWI,27988.72
TZA,227513.12
SYR,356713.9
SOL,6076.5
FR1,-0.9
SUR,28478.77
GUY,20985.19
KOR,1916575.5
PRK,46441.35
MAR,1225819.1
SAH,31201.85
CRI,151162.86
NIC,64356.24
COG,163514.36
COD,675039.1
BTN,15931.15
UKR,1780968.0
BLR,784415.06
NAM,1344.39
ZAF,2071209.8
NL1,3970.7
OMN,1270427.9
UZB,790431.25
KA1,7418.47
TJK,171670.45
LTU,351874.0
BRA,9817107.0
URY,276536.88
MNG,1238238.0
CZE,751108.94
DEU,3381885.0
EST,345521.53
LVA,267698.2
SWE,3110590.0
FI1,5531.16
VNM,1542671.6
KHM,14588.27
LUX,62708.38
ARE,1530293.0
BEL,1055667.5
GEO,175205.28
MKD,97215.57
ALB,91520.12
AZE,304184.38
KOS,56316.94
TUR,4631584.0
ESP,4428336.0
LAO,29515.62
KGZ,237810.95
ARM,54214.38
DN1,6097.85
LBY,1652932.0
TUN,560145.9
ROU,904963.06
HUN,510496.8
SVK,275083.25
POL,3241752.2
IRL,544262.44
GRC,833304.25
ZMB,234978.77
SLE,25026.21
GIN,127194.5
LBR,32835.93
CAF,170906.62
SDN,177175.42
DJI,3347.01
ERI,-16414.99
AUT,423136.38
IRQ,6813355.0
ITA,5538479.5
CHE,330328.56
IRN,8346083.0
LIE,2004.57
CIV,241954.66
SRB,596613.7
MLI,336489.56
SEN,103290.2
NGA,994842.75
BEN,43040.06
AGO,371152.25
HRV,396224.38
SVN,112175.11
QAT,774536.94
SAU,9099022.0
BWA,26755.79
ZWE,84213.1
PAK,1316156.4
BGR,359449.62
THA,1521346.4
SMR,3424.87
HTI,11996.83
DOM,184710.56
TCD,168644.42
KWT,914293.6
SLV,56274.6
GTM,163351.55
TLS,6402.22
BRN,47905.66
MCO,3159.32
DZA,5081217.5
MOZ,120085.82
SWZ,31190.07
BDI,8842.89
RWA,18805.5
MMR,151698.38
BGD,260875.88
AND,7363.66
AFG,398472.0
MNE,54168.78
BIH,183988.08
UGA,101530.83
CU1,212328.3
HND,143041.86
ECU,685984.56
COL,1053327.0
PRY,438207.72
BRI,1.9
PRT,1291806.8
MDA,73806.92
TKM,1027054.2
JOR,436317.38
NPL,94620.7
LSO,12122.13
CMR,99045.73
GAB,135771.81
NER,185323.9
BFA,78466.2
TGO,38667.92
GHA,303719.53
GNB,4654.44
US1,2848.96
MEX,4963248.5
BLZ,16060.32
PAN,97069.74
VEN,4370321.0
PNG,25805.0
EGY,3775503.0
YEM,102966.84
MRT,334853.28
GNQ,23050.47
GMB,7058.91
VAT,0.0
CYN,27279.95
CNM,8784.22
KAS,2096.47
SPI,1294.48
BRT,-48.03
AU1,-0.54
FJI,3471.77
NZ1,8.11
MDG,132185.6
PHL,296577.84
LKA,103724.05
BHS,26546.14
TWN,789736.8
JPN,3117830.5
ISL,635691.6
SYC,1387.4
MHL,175.43
TTO,134321.16
GRD,1716.15
VCT,964.18
BRB,8581.19
LCA,5309.31
DMA,1015.51
ATG,4740.93
KNA,2702.99
JAM,63486.89
MUS,17149.78
COM,12.44
STP,1730.89
CPV,5855.22
MLT,26433.15
SGP,112459.53
TON,592.09
WSM,390.29
SLB,-2614.05
TUV,1.23
MDV,1657.17
NRU,404.61
FSM,405.98
VUT,38633.92
PLW,218.89
BHR,197326.31
PGA,0.19
BJN,0.0
SER,-0.04
SCR,0.0
