Region Code,annual_ntl_sum,annual_ntl_sum_sq,calibrated_ntl_sum,avg_ntl,avg_calibrated,rescaled_calibrated_ntl_sum,avg_rescaled_calibrated
IDN,8447328.0,62328960.0,14591697.3872,0.7577549580026115,1.3089264487923935,35047029.37965676,3.143841493511096
MYS,1974970.2,38777144.0,2986884.91922,1.0715050233998527,1.6205116387383938,6331059.737894217,3.4348681881874508
PRK,0.0,0.0,278188.872,0.0,0.5563999999999999,1220434.676680939,2.4409669920415595
MAR,1658464.4,14966230.0,3507009.4428399997,0.4961157654226961,1.0490925666412794,9698253.674061535,2.9011515379953368
SAH,294740.12,782899.8,758934.003572,0.35174538389566745,0.9057183407467873,2318767.663365022,2.7672371915814833
CRI,337612.8,5228329.5,543459.2188800001,0.9023509413387215,1.4525247198434845,1226444.087172797,3.277965102507021
NIC,479017.44,3076386.2,647820.093264,1.5485944834542422,2.094309181518408,1199374.241807788,3.877404410287556
COG,1619330.5,9444224.0,2135286.02835,1.709250764203202,2.2538569339301997,3814602.9743048227,4.026425148518061
CHL,2340010.8,26979042.0,15572110.38548,0.09827580515441618,0.6539977020988507,60291546.06103508,2.532125165043167
BOL,3855132.2,17848658.0,5122136.7498200005,1.6581534696370468,2.2031122106965513,9251062.390195759,3.9790285791319655
COD,9995157.0,49864160.0,12807057.1327,1.930427854892819,2.4735079026940587,21909827.43097299,4.231583472740351
BTN,162485.42,553286.6,206321.390602,2.010958168316832,2.5534825569554456,347947.5348986219,4.306281372507697
MNG,0.0,0.0,2722550.8856,0.0,0.5564,11944027.400976127,2.44096699204156
CZE,0.0,0.0,135087.2432,0.0,0.5564,592637.4940637862,2.44096699204156
DEU,0.0,0.0,573911.0208,0.0,0.5564,2517789.1052150917,2.4409669920415595
UKR,0.0,0.0,1034278.6064,0.0,0.5564,4537454.958298246,2.4409669920415595
PER,5327539.5,30729694.0,7150535.34945,1.593888220722338,2.139290391999354,13100575.425725423,3.919417745424183
EST,0.0,0.0,110378.632,0.0,0.5564,484239.03188120463,2.44096699204156
LVA,0.0,0.0,140541.076,0.0,0.5564,616563.8525197776,2.44096699204156
BLR,0.0,0.0,377808.9536,0.0,0.5564,1657475.170804028,2.4409669920415595
SWE,0.0,0.0,1434283.4688,0.0,0.5564,6292305.184348796,2.4409669920415595
FI1,0.0,0.0,7439.068,0.0,0.5564,32635.728683595662,2.4409669920415604
KGZ,0.0,0.0,360505.47000000003,0.0,0.5564,1581563.5383185276,2.44096699204156
NAM,2565408.0,7663476.0,3852293.3136,1.0941343255318823,1.6429847986857122,8102923.9223014265,3.4558585615089004
ARM,0.0,0.0,61900.6128,0.0,0.5564,271562.4597986076,2.44096699204156
DN1,0.0,0.0,11200.332,0.0,0.5564,49136.6655497966,2.44096699204156
ARG,10514855.0,102851224.0,15754399.633699998,1.101347579929452,1.6501482816279387,33057869.728809614,3.4625493954455444
GB1,63161.0,223957.0,102773.1919,0.8775164288592189,1.4278615655000904,234280.0412851518,3.2549292313537905
CYP,99600.0,3394739.8,107236.504,6.657754010695188,7.16821550802139,128903.32914259961,8.616532696697835
VNM,2094706.5,25514800.0,2954283.98035,1.3334707308316167,1.8806697827888783,5777434.170146508,3.6778610106937744
KHM,827780.94,5368992.0,1004666.3779139998,2.5223689118034223,3.0613645663119784,1568895.6303384712,4.780653156655182
LUX,0.0,0.0,4704.362,0.0,0.5564,20638.375917711386,2.4409669920415595
ARE,997487.7,34826660.0,1124299.6088699999,4.151269117922467,4.679025361008802,1511772.336321356,6.291580149910964
BEL,0.0,0.0,62342.3944,0.0,0.5564,273500.58759028866,2.4409669920415604
GEO,0.0,0.0,136779.812,0.0,0.5564,600062.9156535766,2.4409669920415595
MKD,0.0,0.0,31462.7508,0.0,0.5564,138029.3604989741,2.44096699204156
ALB,0.0,0.0,42936.275200000004,0.0,0.5564,188364.5408418631,2.44096699204156
LBY,6104422.5,41608490.0,7804700.85595,1.9493244257331335,2.492274087195575,13306338.979499754,4.249111458098414
AZE,0.0,0.0,164673.8132,0.0,0.5564,722435.9138655962,2.44096699204156
KOS,0.0,0.0,20192.8688,0.0,0.5564,88587.57407517229,2.44096699204156
TUN,590023.8,6564184.5,819532.13778,1.405471111587523,1.9521733609175689,1572021.432565856,3.7446467587709913
TUR,0.0,0.0,965348.436,0.0,0.5564,4235053.321522186,2.4409669920415595
ROU,0.0,0.0,351431.1424,0.0,0.5564,1541753.8076453218,2.44096699204156
ZAF,5642173.5,71750660.0,9887257.65645,0.7327951052558573,1.284138819029592,24027822.622851014,3.120689359868352
HUN,0.0,0.0,154178.44,0.0,0.5564,676391.9534947161,2.4409669920415595
NL1,7858.28,376590.38,8149.582268,12.654235104669887,13.123320882447665,8804.984016165954,14.17871822248946
SVK,0.0,0.0,84992.882,0.0,0.5564,372869.91286930843,2.4409669920415595
IND,21725292.0,274644740.0,28309305.84,1.7950845008662148,2.339098417810238,49694022.44029688,4.106042370720486
CH1,1474.22,78533.01,1534.154282,11.70015873015873,12.175827634920635,1675.0113530238518,13.293740897014697
IS1,183051.9,6617947.5,196659.18829,6.849206764947991,7.358347238269849,235031.63699948412,8.79411947165622
OMN,1650916.8,20883202.0,2254709.13408,1.4931640211640211,2.0392611894179895,4230204.188515414,3.8259885031568883
POL,0.0,0.0,470552.4876,0.0,0.5564,2064347.7538724756,2.44096699204156
LBN,227486.16,6921789.0,245756.060296,6.3798457525871495,6.8922248168942986,298048.01877598953,8.358751963877767
IRL,0.0,0.0,142152.4104,0.0,0.5564,623632.8929287299,2.4409669920415595
GRC,0.0,0.0,479703.042,0.0,0.5564,2104491.8970235907,2.4409669920415595
ESP,160709.34,5985594.0,3073600.225154,0.030685890027168896,0.5868741573859814,12932997.483094277,2.4694304543088976
UZB,0.0,0.0,1154180.5808,0.0,0.5564,5063473.581215235,2.4409669920415604
KA1,0.0,0.0,7845.24,0.0,0.5564,34417.634587786,2.4409669920415604
LAO,944553.6,5004511.0,1459482.57576,1.0078689343231122,1.5573146386762826,3163767.2432169425,3.3758409473717856
TJK,0.0,0.0,274583.4,0.0,0.5564,1204617.2105725096,2.4409669920415595
ZMB,2526726.8,9316505.0,3435778.5066799996,1.5174223971019922,2.0633521825619883,6408289.973444783,3.8484899644984356
ETH,5518322.5,28142238.0,6861342.15475,2.2231578841350417,2.7642180947345096,11177625.869516714,4.5031125088698385
IRQ,2309170.0,45750620.0,2945699.187,1.9691894427152177,2.5120020355604824,5004328.142323841,4.267537749817799
LTU,0.0,0.0,120988.0672,0.0,0.5564,530783.3904854531,2.4409669920415595
SLE,352522.88,1912756.5,425022.529328,2.617621052475255,3.1559594672131754,655723.7331530133,4.8690066542886346
GIN,1285833.5,7473112.5,1604028.74805,2.187431527589703,2.7287382500493345,2627575.6626372864,4.469973636229112
LBR,393650.4,1584935.4,529724.85384,1.5781113195747343,2.1236223514696686,974024.8122460358,3.904783487460255
SDS,3212038.5,18809076.0,4016138.33675,2.1629655842091937,2.7044411216781503,6604281.422663914,4.447279640531761
CAF,2744045.8,12768140.0,3643786.14958,1.6619460676008293,2.206878639734384,6575598.452900799,3.982546497919452
ITA,95.5,338.25,1108416.93385,4.794292231941332e-05,0.5564476121161553,4862377.665136902,2.4410114626943327
CHE,0.0,0.0,72074.9432,0.0,0.5564,316197.98221507954,2.4409669920415595
SDN,7242971.0,29839258.0,9016882.6025,2.209559379819989,2.7507134200992307,14719927.167422285,4.490498877193487
DJI,86263.32,358759.38,109601.092692,2.00547077695634,2.548033028595341,185011.44713146257,4.301191405855363
ERI,473719.44,1732716.1,774576.233864,0.8666735700107027,1.4170935223776286,1773630.6290019336,3.244871667325778
SOM,2216228.0,9086810.0,3348911.6348,1.0741598084547455,1.623148105776408,7091969.447362805,3.437330700246607
AUT,0.0,0.0,161562.9808,0.0,0.5564,708788.4674130919,2.44096699204156
IRN,5180857.0,71300110.0,7423088.0263,1.2654326098845203,1.8131011248763171,14799291.224453824,3.614750555477922
LIE,0.0,0.0,270.4104,0.0,0.5564,1186.309958132198,2.44096699204156
KEN,2981538.5,15174313.0,3583777.78835,2.6636100092910233,3.2016311002269155,5497921.1750567835,4.911664857647927
CIV,1558287.2,9569506.0,1860775.97752,2.767936224861362,3.3052374649098186,2819638.8543546074,5.008435239662309
MWI,448663.12,2238381.2,647590.620472,1.2356801894847007,1.7835539961772562,1302459.3668790106,3.5871529562340205
