Region Code,annual_ntl_sum
IDN,2047401.875
MYS,1374930.125
CHL,917184.3125
BOL,16941.880859375
PER,2500.68994140625
ARG,5134402.5
GB1,2349.199951171875
CYP,75495.28125
IND,10806650.0
CH1,9638.5595703125
IS1,174397.8125
LBN,211844.765625
ETH,261831.203125
SDS,119826.4296875
SOM,25881.58984375
KEN,70028.6484375
MWI,-17305.80078125
TZA,-176171.765625
SYR,311985.0
SOL,32690.0
FR1,0.1599999964237213
SUR,-10772.8095703125
GUY,-51242.640625
KOR,1053400.25
PRK,0.0
MAR,1132565.375
SAH,38798.6484375
CRI,129139.34375
NIC,59758.12109375
COG,-4971.68994140625
COD,-256689.234375
BTN,35901.30078125
UKR,0.0
BLR,0.0
NAM,-322513.4375
ZAF,1908223.5
NL1,3221.199951171875
OMN,1312101.625
UZB,15023.9697265625
KA1,0.0
TJK,19708.5
LTU,0.0
BRA,5882942.5
URY,318837.53125
MNG,0.0
CZE,0.0
DEU,0.0
EST,0.0
LVA,0.0
SWE,0.0
FI1,0.0
VNM,758863.25
KHM,81035.1484375
LUX,0.0
ARE,1524671.0
BEL,0.0
GEO,0.0
MKD,0.0
ALB,0.0
AZE,0.0
KOS,0.0
TUR,550066.9375
ESP,668245.1875
LAO,111631.046875
KGZ,0.0
ARM,0.0
DN1,0.0
LBY,1723182.125
TUN,394085.40625
ROU,0.0
HUN,0.0
SVK,0.0
POL,0.0
IRL,0.0
GRC,78408.296875
ZMB,-228594.984375
SLE,270.739990234375
GIN,43880.26171875
LBR,-7529.58984375
CAF,-4462.240234375
SDN,623207.5625
DJI,5929.259765625
ERI,20821.58984375
AUT,0.0
IRQ,6307445.0
ITA,219743.40625
CHE,0.0
IRN,6574026.0
LIE,0.0
CIV,177755.578125
SRB,0.0
MLI,388644.84375
SEN,107774.9296875
NGA,928166.1875
BEN,33213.69140625
AGO,-417686.3125
HRV,0.0
SVN,0.0
QAT,760394.9375
SAU,8389964.0
BWA,-220134.515625
ZWE,-129921.796875
PAK,1229219.25
BGR,0.0
THA,1577783.5
SMR,0.0
HTI,13124.8603515625
DOM,176483.953125
TCD,231627.59375
KWT,693528.5625
SLV,58376.73046875
GTM,177548.84375
TLS,4949.8798828125
BRN,65967.3125
MCO,0.0
DZA,5399869.0
MOZ,-259942.765625
SWZ,23973.189453125
BDI,-4100.7900390625
RWA,8708.6904296875
MMR,430373.25
BGD,330904.59375
AND,0.0
AFG,378688.90625
MNE,0.0
BIH,0.0
UGA,39867.12890625
CU1,232089.3125
HND,164530.5
ECU,564463.125
COL,665644.3125
PRY,391969.40625
BRI,2.4200000762939453
PRT,77948.71875
MDA,0.0
TKM,455508.875
JOR,390251.59375
NPL,150852.015625
LSO,5769.41015625
CMR,-1390.72998046875
GAB,-3194.030029296875
NER,445715.71875
BFA,86740.046875
TGO,31430.16015625
GHA,209541.4375
GNB,9852.240234375
US1,2353.5400390625
MEX,4904822.5
BLZ,25465.279296875
PAN,103853.1171875
VEN,4507550.0
PNG,-26324.91015625
EGY,3510277.5
YEM,205160.140625
MRT,457635.09375
GNQ,13794.6904296875
GMB,7502.81005859375
VAT,
CYN,29884.48046875
CNM,8928.990234375
KAS,2659.43994140625
SPI,1140.02001953125
BRT,302.4599914550781
AU1,-1.4299999475479126
FJI,-3846.2099609375
NZ1,-35.06999969482422
MDG,-159084.5
PHL,386436.46875
LKA,106113.359375
BHS,30786.619140625
TWN,805142.1875
JPN,2423415.0
ISL,0.0
SYC,1247.8299560546875
MHL,181.55999755859375
TTO,148668.59375
GRD,1769.5699462890625
VCT,909.3300170898438
BRB,8297.5595703125
LCA,5500.27978515625
DMA,1150.4000244140625
ATG,5208.93994140625
KNA,2672.719970703125
JAM,60158.48046875
MUS,16113.7001953125
COM,-447.30999755859375
STP,1291.4100341796875
CPV,5732.5400390625
MLT,29670.150390625
SGP,116311.078125
TON,534.47998046875
WSM,-866.3200073242188
SLB,-5945.16015625
TUV,-9.069999694824219
MDV,1336.5
NRU,333.4800109863281
FSM,367.0799865722656
VUT,1978.1199951171875
PLW,333.8399963378906
BHR,173641.8125
PGA,14.039999961853027
BJN,
SER,0.03999999910593033
SCR,0.0
