Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,267.6291415026503,247.45833071470574,253.90320658705235,205.2359222556079,210.49899731353918,238.1994432356358,225.3784886997131,225.47564792797615,219.1197019702551,236.32741857737904,264.60746955370564,183.53277523720234,200.46256674383852,221.65760418294676,255.05511997846028,274.0004864713482,375.0781280653933,387.84917430004595,443.8451505363333,554.5952002223545,621.9123108615917,663.1410528109369,651.9878619481074,628.1468038884944,592.4765374516817,520.252064031151,530.149830802983,502.0567706229715,500.5226641452935,516.8665521826953,368.75461417545955
Angola,AGO,867.1234346502828,657.6533837336073,442.44523403899984,329.69178405477453,398.1202225079676,523.2749398100665,514.3098865973591,423.3934527756815,387.68941479842323,556.8842437345602,527.4632018358852,872.6577716937505,982.8056006223951,1254.6955629153872,1900.7247251537724,2597.9626815160345,3121.3504748032537,4081.715003922795,3123.6975857359184,3496.7847960803215,4511.153227190353,4962.5520719008255,5101.983876411299,5059.080441288163,3100.8306853053327,1709.5155340455308,2283.214232557248,2487.500995552674,2142.238757128536,1603.9934774532626,1953.5337572150775
Albania,ALB,336.58699450462996,200.85221977232302,367.27922507758063,586.4163396442628,750.6044491788246,1009.9772748382072,717.3800477456745,813.7893965804484,1033.2425316241784,1126.6833401071665,1281.6598256178,1425.1242186014206,1846.120120812073,2373.5812917005464,2673.786584295592,2972.7429239979856,3595.038056828934,4370.539924776899,4114.134899163421,4094.3483857449364,4437.142612226856,4247.630047481952,4413.06200528902,4578.63320812155,3952.8025380752897,4124.055389862734,4531.019373768913,5287.663694469148,5396.215864347305,5332.160474568449,6492.872012246334
United Arab Emirates,ARE,25668.493321466172,25630.08097309273,25019.37235788905,25463.49628850626,27010.678185703833,28596.506828797483,28709.24692067806,25905.843383617233,27261.906573315795,31855.500604717443,29909.00943484363,30221.96699951344,32607.372934828712,37017.7363654691,42190.55437946336,45339.585116580805,43918.38016942648,45140.769077243865,31722.588763799187,34165.913305331516,40893.023359773906,44386.78607898459,45729.60767568229,46865.964598367624,41525.13890312832,41054.5395699204,43063.96747707629,46722.268718373256,45376.17083815583,37629.174168795544,44315.55418341157
Argentina,ARG,5730.723809884248,6815.6182897546305,6957.417498892505,7464.474736881904,7383.7045096006395,7690.157002547828,8176.771195174354,8250.673174143214,7735.322080184856,7666.5178342378285,7168.975872329107,2579.4887693328405,3333.152903889983,4258.16026060876,5086.627760731351,5890.978001697958,7210.595547558988,8977.506850933643,8184.389889239909,10385.964431955534,12848.86419697054,13082.664325571988,13080.254732336649,12334.798245389282,13789.060424772013,12790.242473244709,14613.041824657961,11795.15938662869,9963.672506205296,8496.424141763748,10636.120195618318
Armenia,ARM,572.1617627309502,356.08221259047355,347.46646325703307,389.8252864649512,441.89400183384885,484.09164097740523,501.15651523636535,584.3842672585271,575.6284791556286,603.2980252471135,676.1500113077644,765.3161776815413,910.1712617451822,1166.6382039002463,1608.163551643133,2109.526231458563,3064.2801059635644,3908.9490601143116,2917.366129423998,3143.0292023901934,3462.6816110804934,3643.7151834226074,3833.157532491103,4017.229808249404,3666.1418758064956,3679.951972123657,4041.995020809959,4391.923697296864,4828.505177717878,4505.867363971232,4966.513471223666
Australia,AUS,18860.581590743852,18624.555084179345,17700.115555789434,18129.790719860102,20446.71984747126,22020.09372136198,23645.088328377293,21478.38515733461,20698.712702816738,21853.781667690957,19681.662636357265,20291.178547968553,23705.90721639166,30819.993486774463,34461.70877996395,36570.72036841462,41023.75485622934,49679.18052798414,42810.33165513905,52134.30885041996,62596.432174891575,68044.71481623413,68158.57974270552,62513.411217112036,56710.445724450314,49875.56514338342,53936.14025499018,57207.87150948047,54941.43417939476,51720.37076344024,60443.10916499673
Austria,AUT,22410.91176666545,24880.164118036137,24081.5277928004,25646.700659168375,30325.84958183961,29809.076773082154,26705.47859938911,27361.875110643643,27183.47592639563,24625.600722743344,24558.763677886767,26527.593091034756,32294.04886065582,36889.23351351939,38417.45778576767,40669.32695861521,46915.33740045063,51919.983575422615,48153.32401996315,46903.76158543423,51442.27624644077,48564.917335087426,50731.12725418466,51786.37717479052,44195.81759477485,45307.58786204294,47429.15845643863,51466.5565633634,50070.40334829007,48809.22687622431,53637.705710989656
Azerbaijan,AZE,1209.1876020119373,60.45821357963655,209.47857180978812,157.08605905454846,314.5612263136236,409.16318910647817,505.50034933310496,561.9068078718691,573.9165123340891,655.119945170816,703.6838434327226,763.0806379853584,883.7339714984528,1045.0093791680526,1578.4023902960253,2473.0818186353667,3851.4378687117223,5574.603802186127,4950.294791423749,5843.533768358196,7189.691229207653,7496.294647682637,7875.756952542876,7891.313147499858,5500.310382444075,3880.7387308955635,4147.089715691707,4739.8417102839285,4805.753717659169,4229.910649045028,5387.9979749538315
Burundi,BDI,208.65672337843094,188.58116684758104,168.96407559491055,165.5859346746036,168.62716770279312,146.5361825417444,164.2334456669357,148.0895535425744,130.75302391932695,138.00461722536633,135.6064757846464,124.13929715679572,114.36700716215988,128.5384225194565,151.18853639299033,166.27623763168842,170.70687366223058,194.71064006360632,204.5447501082329,222.66058917856532,236.45135367373737,238.20594938711727,241.5476708356496,257.81855190933265,289.3596332808655,242.0656705435891,243.1358094363751,231.44647654839375,216.9729680851225,216.8267413413777,221.47767622336343
Belgium,BEL,21041.66065196483,23372.61917101503,22283.9360213551,24208.55479314461,28413.8264387368,27489.555177048856,24820.938050389614,25338.44329349041,25252.801906656474,23098.88650774013,23015.071263246155,25006.191397109007,30655.209267902406,35429.40779333445,36809.7013403619,38705.10679591472,44319.165448813066,48303.397956285975,44760.29124437093,44184.94635396398,47410.56692774634,44670.560684510085,46757.95185595973,47764.07151208331,41008.29671947197,42012.62271910154,44198.48239086912,47544.98114727575,46638.681305485516,45517.79493018462,51247.014353162594
Benin,BEN,375.2920076461569,310.6237200749243,398.6129977431158,269.7905849846085,358.82300568605433,380.5883091915017,355.1420547922116,372.8773307651488,541.7023024247248,502.99796478014434,508.34744285262383,564.3790796186784,698.408808628665,784.119122642955,805.9046287236317,837.1320425110183,944.6432076525404,1098.9467796956314,1061.7184114711583,1009.4894943300154,1099.4143113919051,1112.5695352068658,1214.2955657658606,1251.504765426906,1041.6525231598305,1049.8203034992275,1095.27445905119,1194.438214271445,1170.965532980989,1237.9492953503893,1319.1549945173983
Burkina Faso,BFA,334.7596646537172,349.70810896683616,325.1536424212397,187.81513653407762,229.83267200172546,243.52693780637424,224.61133309449644,250.41393377444354,293.88746803593494,249.80206760067838,260.443470621576,286.75372602862956,363.8183682712273,405.45130104192054,442.9443995455742,457.3420967387545,516.7503479042925,621.8903289674018,603.8775750945047,627.270347532957,727.6125146559004,733.9729342183984,762.3038171456682,767.3713906759177,632.1266836839411,665.7863454513082,711.1846046732992,779.2027097000924,772.1668949178344,833.2443426363261,893.0771557768645
Bangladesh,BGD,283.38228528179525,284.96697756428205,292.42534740518624,292.0788195250126,322.08738976950207,387.3848631712625,395.31805235711266,401.96518010266,404.4861431350928,413.1001852644022,410.04854090404274,407.9629676164199,440.7144048195879,469.1164583692525,492.80864888957683,503.5383321885341,552.3389345307048,630.1089792029234,698.5210262045096,776.8595769402781,856.3815860987415,876.8175450581317,973.7733926364243,1108.5150998354598,1236.0050604905912,1659.9616052355882,1815.6094264578928,1963.411854675838,2122.078851247988,2233.305523992693,2457.9248798636077
Bulgaria,BGR,1267.7343754148544,1211.980878109308,1278.2471734610726,1148.4943993817014,2258.284247612611,1470.1016868378106,1361.3923860059012,1820.405231845527,1659.718611054933,1621.2430184469067,1770.913533947469,2092.9576938761115,2719.4975076179303,3389.7068020154697,3899.90772068651,4523.050832980604,5888.776852206369,7271.395836532995,6988.233420172793,6853.002853886696,7849.1652827443195,7432.478765680708,7681.934619958817,7901.785876393817,7074.681023250586,7569.478814767597,8366.293221457481,9446.71709419731,9879.33434282707,10129.812959763773,12221.496606417091
Bahrain,BHR,8621.767048467675,8568.658051449545,9063.565384958405,9384.771880925893,9543.389368429456,9643.308694299556,9728.446323054135,9195.425609746373,9566.095493699087,12738.774118157502,12291.83261305354,12819.995935313942,14230.296752979997,15777.963640895625,17705.235163894955,19057.79890471379,20883.548031199425,23155.82144915499,19448.18325537889,21186.814329227822,23741.557462670193,25102.72634852699,25790.730312138247,25464.760097714956,22795.44885766117,22867.181119613368,24349.90987013256,25415.846624947157,25869.112912904133,23501.91946281682,26562.96913540261
"Bahamas, The",BHS,11269.950517644842,11025.878364240549,10730.000971668911,11085.14712735164,11447.017899944583,11835.386789884991,20415.706174980896,21665.387859149392,23991.70080431633,24849.606478490157,25234.144151250206,26590.140178801325,26204.88049868534,26393.413953813735,28280.870835298043,28829.849375042533,29687.86521503302,29013.630287076725,27120.690545214464,27046.657665187853,26644.926577589627,28059.65539534263,27389.60197069882,28720.662193451564,30206.240434737214,29887.164878679516,30969.87619668187,31738.26715699691,32610.485049078376,23862.710992912165,27478.389628983146
Bosnia and Herzegovina,BIH,1203.0293476103107,918.5037603079486,1020.4021615931399,333.78317934253505,497.6828466337264,712.9536456231295,907.1257657933523,1000.3986424991963,1128.2728918006078,1332.1223647877182,1382.8054202485832,1602.695143774798,2031.3227745042914,2451.821680736013,2741.1185189228822,3170.117849952613,3936.9400125610423,4846.776421134191,4542.2826365983365,4507.054433245887,4981.035680978948,4688.376622978853,5025.074597387105,5196.860800422534,4599.901028799339,4858.77592634808,5255.807057912336,5936.101501738729,6011.370670527545,6012.062767058562,7143.310548432089
Belarus,BLR,1765.7358949583336,1667.6050570340833,1590.0881171141073,1460.0655003551203,1370.6992828229152,1452.5071047646018,1396.4420190088138,1511.3253156731414,1210.6117195862005,1276.2880340999998,1244.3731852343076,1479.3145827167634,1819.7660592617715,2378.623286007414,3125.8105350285264,3847.4341238215316,4735.657607939993,6377.369732012319,5352.583911600698,6033.6862392722,6527.173868716417,6953.132514936842,7998.125238780984,8341.399678610935,5967.052203849139,5039.681886284993,5785.67067254068,6360.06247301284,6837.717826063515,6542.797491305531,7302.2577941877435
