Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1992_4,211.12,210.68,329.71,364.63,383.28,195.15,216.19,217.25,199.29,239.5,214.39,351.59,235.59,355.78,260.11,252.08,195.36,477.3,286.72,422.71,595.72,419.7,346.34,465.54,195.57,330.88,445.92,195.8,199.45
1992_5,210.2,209.79,328.91,364.19,382.69,193.6,215.23,216.3,197.66,238.53,213.47,351.07,234.77,355.32,258.7,250.78,193.71,475.71,286.17,421.95,594.42,418.64,346.0,464.58,193.99,330.08,445.02,194.18,199.01
1992_6,209.3,208.9,328.26,363.78,382.28,192.12,214.31,215.37,196.15,237.77,212.55,350.93,233.9,354.82,257.95,249.77,192.23,474.27,285.54,421.2,593.4,417.69,345.66,463.61,192.54,330.03,444.3,192.72,198.64
1992_7,208.24,207.86,327.27,363.09,381.57,190.47,213.24,214.29,194.46,236.63,211.48,349.96,232.88,354.24,256.31,248.28,190.58,472.44,284.73,420.14,591.9,416.47,345.0,462.41,190.87,328.81,443.24,191.05,198.12
1992_8,207.2,206.82,326.33,362.44,380.87,188.83,212.17,213.21,192.78,235.64,210.41,349.42,231.88,353.63,255.19,247.01,188.94,470.65,283.94,419.13,590.44,415.28,344.42,461.23,189.21,328.28,442.21,189.41,197.6
1992_9,206.11,205.74,325.32,361.72,380.09,187.14,211.05,212.08,191.06,234.6,209.29,348.78,230.83,352.94,253.97,245.66,187.25,468.78,283.1,418.02,588.85,413.99,343.76,459.95,187.7,327.63,441.07,187.71,197.09
1992_10,204.98,204.6,324.27,360.88,379.16,185.4,209.88,210.86,189.29,233.44,208.11,348.14,229.7,351.99,252.68,244.23,185.57,466.7,282.14,416.77,587.07,412.54,342.98,458.52,185.96,327.01,439.85,185.95,196.5
1992_11,203.86,203.44,323.08,359.93,378.5,183.64,208.68,209.67,187.48,232.24,206.9,347.21,228.57,351.17,251.28,242.84,183.76,464.31,281.2,415.34,584.74,410.98,342.12,456.67,184.22,325.92,438.28,184.22,195.86
1992_12,202.45,202.03,321.51,358.63,376.77,181.58,207.15,208.22,185.39,230.99,205.48,345.91,227.17,349.77,249.53,240.97,181.71,462.15,279.96,413.78,582.56,409.1,341.02,455.06,182.12,324.72,436.59,182.13,194.94
1993_1,201.3,200.88,317.8,353.43,371.27,182.1,206.06,207.03,186.06,229.1,204.32,340.93,225.45,344.66,247.77,239.55,182.38,454.45,276.76,407.53,573.76,402.71,336.08,448.1,182.6,320.64,430.06,182.78,193.96
1993_2,200.22,199.88,314.39,348.45,366.06,182.77,204.95,205.98,186.76,227.27,203.28,336.1,223.78,339.83,246.06,238.38,182.92,447.32,273.7,401.52,565.46,396.74,331.36,441.41,183.24,315.88,423.89,183.54,193.07
1993_3,199.31,198.97,310.81,343.51,360.74,183.47,203.97,204.94,187.33,225.67,202.3,331.36,222.27,335.02,244.44,237.1,183.59,440.15,270.7,395.65,556.95,390.67,326.65,435.0,183.96,311.66,417.56,184.09,192.32
1993_4,198.35,197.95,307.18,338.32,355.3,184.14,202.96,203.92,188.01,224.01,201.29,326.38,220.65,329.86,242.67,235.76,184.26,432.78,267.57,389.49,548.2,384.37,321.78,428.1,184.63,307.32,411.11,184.71,191.52
1993_5,197.27,196.92,303.25,332.9,349.63,184.69,201.88,202.79,188.51,222.2,200.23,321.28,218.91,324.66,240.97,234.27,184.77,425.07,264.29,383.0,538.97,377.84,316.67,420.88,185.11,302.91,404.19,185.24,190.54
1993_6,196.18,195.82,299.33,327.45,343.77,185.29,200.77,201.69,189.11,220.32,199.14,315.94,217.16,319.32,238.89,232.81,185.35,417.27,260.95,376.43,529.72,371.21,311.54,413.6,185.64,297.95,397.33,185.81,189.63
1993_7,195.12,194.84,295.47,322.35,338.17,185.9,199.67,200.61,189.73,218.51,198.09,310.71,215.43,313.96,237.03,231.32,185.97,409.75,257.69,370.07,520.62,364.74,306.3,406.48,186.24,293.41,390.54,186.4,188.77
1993_8,194.06,193.69,291.34,316.25,331.95,186.56,198.59,199.48,190.39,216.75,196.98,305.33,213.68,308.37,235.31,229.85,186.59,401.67,254.13,363.19,510.85,357.83,300.98,398.95,186.88,288.65,383.31,187.05,187.93
1993_9,192.97,192.61,287.23,310.54,326.01,187.05,197.43,198.35,190.94,214.79,195.87,299.68,211.87,302.65,233.0,228.25,187.18,393.76,250.66,356.46,501.45,351.05,295.53,391.43,187.35,283.45,376.32,187.6,187.0
1993_10,191.83,191.49,282.92,304.54,319.66,187.56,196.3,197.14,191.47,212.84,194.69,293.88,209.96,296.91,230.9,226.56,187.7,385.54,247.01,349.4,491.42,343.97,289.84,383.65,187.87,278.37,368.85,188.16,186.06
1993_11,190.63,190.29,278.5,298.44,313.29,188.06,195.05,195.88,191.99,210.75,193.47,288.05,208.03,290.94,228.69,224.85,188.2,377.22,243.27,342.19,481.32,336.78,284.05,375.68,188.33,273.05,361.33,188.62,185.0
1993_12,189.48,189.1,273.87,292.16,306.66,188.52,193.84,194.67,192.51,208.78,192.25,281.98,206.06,284.84,226.38,223.01,188.64,368.66,239.47,334.84,470.79,329.39,278.11,367.54,188.76,267.69,353.48,189.07,184.02
1994_1,189.76,189.41,276.6,295.11,309.79,190.3,194.15,194.97,194.39,209.51,192.6,284.85,206.78,287.74,228.59,225.19,190.53,371.75,241.2,338.0,475.26,332.4,280.95,370.93,190.39,270.18,356.86,191.07,181.94
1994_2,190.08,189.82,279.3,298.01,312.76,192.06,194.5,195.33,196.09,210.29,192.94,287.74,207.5,290.54,230.78,227.36,192.36,374.83,242.94,341.18,479.61,335.36,283.77,374.38,192.07,272.63,360.23,192.85,179.94
1994_3,190.47,190.17,281.98,300.91,315.75,193.75,194.86,195.73,197.79,211.15,193.3,290.51,208.26,293.33,232.95,229.44,193.97,377.91,244.65,344.32,483.93,338.33,286.52,377.75,193.7,275.22,363.51,194.37,177.85
1994_4,190.74,190.4,284.5,303.65,318.59,195.4,195.1,195.9,199.46,211.8,193.53,293.15,208.89,295.97,235.0,231.42,195.53,380.75,246.22,347.29,487.97,341.09,289.15,380.99,195.26,277.55,366.61,196.0,175.62
1994_5,190.95,190.6,286.88,306.23,321.28,196.97,195.29,196.1,201.01,212.41,193.72,295.62,209.44,298.5,236.93,233.29,197.07,383.4,247.71,350.03,491.81,343.72,291.66,383.92,196.73,279.69,369.55,197.51,173.28
1994_6,191.09,190.81,289.3,308.76,323.93,198.52,195.46,196.26,202.6,212.99,193.92,298.14,209.97,301.0,238.86,235.19,198.62,386.01,249.16,352.73,495.65,346.3,294.12,386.82,198.14,281.9,372.5,199.08,170.84
1994_7,191.24,190.97,291.51,311.21,326.48,199.97,195.59,196.43,204.08,213.53,194.05,300.49,210.44,303.31,240.65,236.94,200.09,388.48,250.55,355.37,499.16,348.69,296.47,389.62,199.55,283.96,375.2,200.53,168.36
1994_8,191.35,191.02,293.74,313.6,329.01,201.4,195.69,196.51,205.52,214.04,194.14,302.79,210.89,305.69,242.43,238.69,201.51,390.88,251.88,357.91,502.72,351.15,298.93,392.38,200.91,285.99,377.88,201.98,165.77
1994_9,191.38,191.17,295.88,315.93,331.35,202.68,195.81,196.56,206.91,214.49,194.26,305.06,211.33,307.91,244.11,240.36,202.74,393.33,253.22,360.49,506.11,353.43,300.96,395.13,202.12,287.92,380.5,203.3,163.04
1994_10,191.4,191.09,297.85,317.98,333.68,204.06,195.84,196.58,208.27,214.84,194.16,307.09,211.55,309.84,245.82,242.0,204.14,395.48,254.26,362.77,509.27,355.56,302.93,397.57,203.39,289.69,382.81,204.67,160.21
1994_11,191.39,191.09,299.78,320.08,335.64,205.27,195.75,196.52,209.46,215.18,194.16,309.15,211.91,311.89,247.3,243.42,205.39,397.22,255.42,364.76,512.11,357.42,305.03,399.66,204.53,291.6,385.17,205.8,157.23
1994_12,191.26,190.97,301.52,321.93,337.61,206.38,195.59,196.33,210.7,215.39,194.04,310.94,212.05,313.7,248.69,244.82,206.54,399.04,256.4,366.73,514.76,359.29,306.82,401.79,205.45,293.03,387.25,206.99,154.0
1995_1,193.33,193.03,306.47,326.76,342.63,211.0,197.66,198.46,215.53,217.96,196.11,315.63,214.56,318.45,253.29,249.52,211.3,404.43,259.93,372.04,522.13,364.43,311.47,407.54,210.12,297.31,392.84,211.78,157.73
1995_2,195.43,195.14,311.58,331.72,347.93,215.62,199.8,200.6,220.2,220.6,198.23,320.43,217.08,323.34,257.95,254.29,215.9,410.07,263.52,377.53,529.85,369.83,316.18,413.58,214.76,301.77,398.73,216.51,161.28
1995_3,197.62,197.22,316.62,336.69,353.02,220.26,201.97,202.77,224.84,223.33,200.36,325.29,219.62,328.04,262.65,258.95,220.49,415.7,267.11,382.98,537.39,374.95,320.93,419.46,219.44,306.28,404.43,221.02,164.85
1995_4,199.68,199.32,321.59,341.5,357.92,224.78,204.12,204.9,229.44,225.93,202.48,329.95,222.16,333.17,267.38,263.61,224.97,420.91,270.64,388.27,544.72,379.9,325.56,425.14,223.95,310.83,410.02,225.49,168.24
1995_5,201.69,201.35,326.33,346.24,362.92,229.21,206.18,206.97,233.9,228.38,204.53,334.49,224.61,337.33,271.63,268.06,229.36,426.28,274.11,393.47,551.86,384.96,330.13,430.8,228.39,314.76,415.47,229.88,171.51
1995_6,203.73,203.44,331.24,351.01,367.96,233.7,208.27,209.07,238.46,230.93,206.63,339.15,227.08,342.04,276.1,272.6,233.83,431.51,277.61,398.69,559.12,389.96,334.72,436.4,232.86,319.04,421.01,234.34,174.75
1995_7,205.78,205.48,336.11,355.78,372.95,238.16,210.34,211.17,243.01,233.49,208.7,343.78,229.54,346.68,280.61,277.15,238.3,436.89,281.08,403.91,566.37,395.02,339.31,442.06,237.34,323.34,426.56,238.83,177.97
1995_8,207.83,207.5,341.03,360.7,378.02,242.59,212.44,213.25,247.57,236.06,210.78,348.48,232.04,351.46,285.13,281.72,242.72,442.35,284.61,409.31,573.77,400.15,343.99,447.91,241.78,327.66,432.17,243.28,181.09
1995_9,209.89,209.56,345.85,365.39,382.93,246.98,214.54,215.35,252.04,238.62,212.87,353.1,234.5,356.0,289.6,286.24,247.15,447.63,288.08,414.48,580.92,405.08,348.53,453.52,246.18,331.93,437.64,247.69,184.16
1995_10,211.94,211.61,350.73,370.17,387.92,251.41,216.63,217.4,256.63,241.2,214.9,357.77,236.96,360.65,294.18,290.79,251.62,452.88,291.56,419.72,588.19,410.1,353.11,459.18,250.61,336.35,443.18,252.21,187.19
1995_11,213.93,213.57,355.44,374.77,392.72,255.74,218.66,219.44,260.97,243.64,216.9,362.29,239.34,365.12,298.45,295.18,255.93,457.91,294.91,424.72,595.15,414.94,357.53,464.57,254.9,340.45,448.53,256.49,190.13
1995_12,215.89,215.57,360.23,379.37,397.46,260.04,220.64,221.47,265.43,246.04,218.92,366.73,241.74,369.57,302.75,299.59,260.21,462.96,298.35,429.75,602.11,419.72,362.01,469.96,259.18,344.44,453.97,260.8,193.0
1996_1,218.53,218.17,364.72,385.09,403.52,261.01,223.33,224.15,266.46,249.22,221.59,372.21,244.88,375.14,305.61,302.11,261.32,468.95,302.66,435.98,610.85,425.61,367.54,476.69,260.12,349.65,460.42,261.82,193.48
1996_2,221.15,220.83,369.36,390.78,409.47,261.97,226.06,226.82,267.47,252.38,224.24,377.77,247.92,380.76,308.55,304.68,262.21,474.99,306.87,442.11,619.54,431.44,372.92,483.38,261.08,354.86,467.04,262.82,193.94
1996_3,223.85,223.58,373.84,396.43,415.43,262.99,228.69,229.64,268.37,255.77,226.88,383.29,251.05,386.26,311.44,307.32,263.39,481.1,311.13,448.32,628.08,437.26,378.42,490.17,262.12,360.25,473.5,263.84,194.48
1996_4,226.32,225.96,378.24,401.97,421.14,263.79,231.28,232.08,269.14,258.46,229.45,388.56,254.06,391.54,314.02,309.57,263.92,486.93,315.25,454.26,636.48,442.89,383.68,496.55,262.95,364.81,479.87,264.51,194.79
1996_5,228.88,228.53,382.7,407.49,426.89,264.75,233.88,234.68,270.13,261.5,232.04,394.01,257.1,396.87,316.96,312.29,264.91,492.95,319.41,460.34,644.83,448.51,389.0,503.16,263.89,369.75,486.26,265.51,195.2
1996_6,231.36,231.03,387.01,412.83,432.49,265.6,236.41,237.23,270.95,264.41,234.56,399.06,260.03,402.13,319.39,314.4,265.72,498.38,323.46,466.02,653.03,453.98,394.12,509.27,264.7,374.52,492.42,266.31,195.53
1996_7,233.88,233.52,391.43,418.32,438.2,266.47,238.96,239.8,271.91,267.41,237.11,404.42,263.02,407.29,322.16,316.89,266.64,503.94,327.53,471.84,661.39,459.5,399.34,515.51,265.61,379.43,498.77,267.2,195.92
1996_8,236.37,236.01,395.63,423.58,443.67,267.36,241.5,242.36,272.76,270.38,239.62,409.57,265.92,412.52,324.8,319.21,267.52,509.54,331.55,477.59,669.26,464.88,404.47,521.77,266.56,384.24,504.76,268.06,196.26
1996_9,238.88,238.5,399.89,428.94,449.2,268.2,244.04,244.89,273.59,273.29,242.14,414.69,268.88,417.64,327.39,321.54,268.36,515.11,335.59,483.33,677.32,470.28,409.61,527.99,267.33,388.98,510.85,268.9,196.56
1996_10,241.38,240.93,404.29,434.28,454.84,269.09,246.59,247.39,274.56,276.26,244.59,419.94,271.76,422.81,330.12,324.01,269.25,520.81,339.54,489.06,685.45,475.79,414.68,534.19,268.3,393.87,517.09,269.85,196.96
1996_11,243.75,243.35,408.45,439.41,460.26,269.89,249.06,249.82,275.4,279.07,247.05,424.92,274.64,427.87,332.68,326.27,270.07,526.0,343.46,494.59,693.31,481.0,419.65,540.12,269.03,398.61,523.03,270.66,197.12
1996_12,246.1,245.74,412.41,444.5,465.49,270.69,251.4,252.28,276.22,281.84,249.41,429.8,277.39,432.75,335.02,328.39,270.89,531.31,347.28,500.0,700.85,486.1,424.55,545.99,269.87,402.97,528.76,271.4,197.38
