Unnamed: 0,0,1,2,3,4,5,6,7,8,9
1992_4,318.66,718.3,185.71,295.35,214.89,203.42,331.33,237.83,253.43,430.14
1992_5,317.69,715.12,185.09,294.45,213.94,202.17,330.89,237.04,252.38,429.09
1992_6,316.84,712.16,184.5,294.14,213.03,201.05,330.45,236.22,251.28,428.18
1992_7,315.67,708.7,183.78,292.94,211.96,199.71,329.72,235.22,249.91,426.98
1992_8,314.57,705.32,183.06,292.23,210.9,198.4,329.06,234.25,248.56,425.8
1992_9,313.39,701.8,182.33,291.43,209.79,197.11,328.32,233.21,247.16,424.53
1992_10,312.16,697.99,181.53,290.59,208.62,195.7,327.48,232.11,245.68,423.08
1992_11,310.8,693.22,180.69,289.53,207.44,194.28,326.55,230.99,244.22,421.52
1992_12,309.09,689.79,179.6,288.24,205.96,192.51,325.37,229.63,242.47,419.65
1993_1,305.86,677.78,178.6,284.93,204.85,192.71,320.91,227.8,241.04,413.14
1993_2,302.92,666.3,177.68,281.47,203.75,193.01,316.63,226.1,239.73,407.03
1993_3,299.89,655.12,176.87,278.28,202.77,193.37,312.4,224.46,238.45,400.83
1993_4,296.75,643.47,176.03,274.95,201.77,193.69,308.0,222.75,237.32,394.41
1993_5,293.36,631.37,175.04,271.59,200.68,193.87,303.38,220.96,236.02,387.74
1993_6,289.98,619.13,174.1,267.83,199.58,194.11,298.74,219.14,234.64,380.96
1993_7,286.61,607.3,173.19,264.35,198.5,194.38,294.06,217.36,233.33,374.36
1993_8,283.09,594.89,172.32,260.81,197.42,194.71,289.22,215.45,231.82,367.27
1993_9,279.58,582.51,171.38,256.84,196.28,194.9,284.31,213.56,230.45,360.35
1993_10,275.82,569.79,170.38,252.97,195.14,195.11,279.18,211.57,229.13,353.1
1993_11,272.02,556.87,169.32,248.96,193.9,195.25,273.96,209.53,227.6,345.74
1993_12,268.02,543.78,168.32,244.89,192.69,195.39,268.61,207.47,226.08,338.18
1994_1,270.63,547.71,167.4,246.77,193.01,195.82,271.12,208.27,226.46,341.3
1994_2,273.24,551.78,166.59,248.65,193.35,196.23,273.62,209.07,226.84,344.35
1994_3,275.82,555.79,165.7,250.58,193.73,196.57,276.06,209.87,227.18,347.41
1994_4,278.25,559.45,164.71,252.33,193.96,196.82,278.38,210.54,227.42,350.26
1994_5,280.53,562.8,163.66,253.95,194.16,196.97,280.58,211.15,227.56,352.97
1994_6,282.84,566.0,162.54,255.58,194.32,197.09,282.74,211.75,227.76,355.63
1994_7,284.96,569.07,161.44,257.09,194.46,197.13,284.8,212.3,227.82,358.12
1994_8,287.09,572.09,160.24,258.58,194.56,197.11,286.91,212.79,227.88,360.64
1994_9,289.15,575.07,158.98,259.96,194.65,196.95,288.73,213.31,227.9,363.02
1994_10,291.05,577.63,157.64,261.3,194.67,196.8,290.43,213.58,227.79,365.23
1994_11,292.87,579.66,156.22,262.57,194.61,196.47,292.24,213.96,227.76,367.15
