Unnamed: 0,0,1,2,3,4,5,6,7
1992_4,307.39,558.75,283.31,192.1,349.65,231.25,205.18,427.12
1992_5,306.35,557.53,282.36,191.34,349.28,230.41,204.03,426.09
1992_6,305.43,556.29,281.92,190.61,348.91,229.56,202.99,425.18
1992_7,304.2,554.82,280.69,189.74,348.24,228.55,201.75,424.0
1992_8,303.04,553.37,279.89,188.88,347.63,227.55,200.53,422.84
1992_9,301.8,551.8,279.0,187.98,346.94,226.49,199.34,421.59
1992_10,300.51,549.95,278.07,187.02,346.14,225.36,198.02,420.16
1992_11,299.11,547.88,276.95,186.04,345.24,224.22,196.68,418.63
1992_12,297.35,545.68,275.58,184.81,344.1,222.82,194.98,416.76
1993_1,294.48,537.35,272.67,183.79,339.14,221.2,195.11,410.3
1993_2,291.9,529.26,269.65,182.83,334.39,219.67,195.34,404.24
1993_3,289.22,521.43,266.87,181.96,329.67,218.23,195.62,398.09
1993_4,286.45,513.21,263.96,181.08,324.76,216.73,195.87,391.72
1993_5,283.44,504.58,261.0,180.07,319.63,215.15,195.97,385.11
1993_6,280.44,495.66,257.72,179.09,314.46,213.53,196.15,378.38
1993_7,277.46,487.27,254.66,178.15,309.25,211.95,196.35,371.84
1993_8,274.34,478.15,251.58,177.2,303.84,210.28,196.6,364.79
1993_9,271.23,468.94,248.09,176.21,298.38,208.61,196.73,357.92
1993_10,267.88,459.69,244.69,175.17,292.67,206.86,196.87,350.73
1993_11,264.5,449.96,241.17,174.07,286.85,205.06,196.94,343.43
1993_12,260.93,440.26,237.6,173.01,280.88,203.23,197.01,335.92
1994_1,263.47,444.23,239.38,172.81,283.71,203.89,197.09,339.03
1994_2,265.99,448.36,241.17,172.67,286.52,204.56,197.16,342.06
1994_3,268.49,452.36,243.0,172.49,289.28,205.24,197.15,345.11
1994_4,270.84,456.12,244.65,172.2,291.91,205.79,197.04,347.94
1994_5,273.05,459.72,246.19,171.88,294.41,206.28,196.83,350.65
1994_6,275.29,463.04,247.73,171.51,296.86,206.76,196.58,353.29
1994_7,277.35,466.23,249.17,171.15,299.2,207.18,196.25,355.77
1994_8,279.41,469.66,250.57,170.72,301.63,207.56,195.85,358.28
1994_9,281.4,472.8,251.89,170.23,303.7,207.96,195.31,360.65
1994_10,283.25,475.63,253.14,169.71,305.66,208.15,194.76,362.84
1994_11,285.01,477.99,254.35,169.11,307.73,208.4,194.03,364.76
1994_12,286.63,480.61,255.33,168.36,309.51,208.53,193.13,366.66
1995_1,291.6,487.35,259.04,170.36,314.18,210.94,198.41,371.92
1995_2,296.71,494.59,262.85,172.31,318.92,213.4,203.58,377.43
1995_3,301.74,501.57,266.72,174.31,323.68,215.87,208.72,382.7
1995_4,306.7,508.37,270.55,176.22,328.34,218.32,213.72,387.79
1995_5,311.46,514.97,274.03,178.08,332.92,220.7,218.59,392.94
1995_6,316.34,521.57,277.7,179.94,337.52,223.11,223.47,398.08
1995_7,321.21,528.33,281.38,181.81,342.13,225.51,228.34,403.24
1995_8,326.12,535.34,285.09,183.64,346.84,227.93,233.15,408.5
1995_9,330.94,541.97,288.76,185.49,351.39,230.33,237.9,413.54
1995_10,335.82,548.62,292.5,187.29,356.0,232.71,242.68,418.68
1995_11,340.52,555.02,296.02,189.07,360.43,235.03,247.29,423.62
1995_12,345.27,561.29,299.51,190.82,364.92,237.36,251.87,428.51
1996_1,349.0,569.45,303.51,192.14,370.46,240.41,252.62,434.56
1996_2,352.84,577.42,307.53,193.45,375.88,243.44,253.35,440.55
1996_3,356.58,584.82,311.63,194.85,381.39,246.45,254.14,446.53
1996_4,360.18,593.05,315.27,195.99,386.69,249.37,254.67,452.29
1996_5,363.91,600.43,319.21,197.24,392.04,252.32,255.38,458.06
1996_6,367.43,608.23,322.83,198.44,397.18,255.2,255.94,463.67
1996_7,371.13,615.78,326.66,199.67,402.43,258.1,256.59,469.34
1996_8,374.58,623.13,330.39,200.88,407.57,260.95,257.22,474.85
1996_9,378.11,630.57,334.07,202.06,412.73,263.83,257.79,480.38
1996_10,381.76,637.9,337.86,203.24,417.83,266.64,258.49,486.01
1996_11,385.19,645.03,341.48,204.34,422.82,269.44,258.96,491.37
1996_12,388.45,651.9,344.92,205.45,427.74,272.12,259.48,496.58
1997_1,389.32,653.19,346.62,207.15,429.09,274.01,260.27,497.59
1997_2,390.58,654.93,348.48,208.69,431.21,276.23,260.98,498.87
1997_3,391.45,656.82,349.42,209.96,432.06,277.65,261.47,500.15
1997_4,392.34,658.53,350.82,211.42,433.38,279.49,262.0,500.98
