Unnamed: 0,0,1,2,3,4,5
1992_4,336.07,232.1,292.63,228.62,435.75,195.68
1992_5,335.61,231.25,291.5,227.71,434.59,194.08
1992_6,335.23,230.4,290.49,227.05,433.51,192.6
1992_7,334.45,229.39,289.19,225.98,432.19,190.93
1992_8,333.81,228.39,287.95,225.1,430.89,189.27
1992_9,333.08,227.34,286.63,224.18,429.49,187.63
1992_10,332.27,226.21,285.26,223.18,427.9,185.86
1992_11,331.34,225.07,283.81,222.09,426.2,184.12
1992_12,330.13,223.66,281.98,220.73,424.24,182.02
1993_1,325.57,222.05,279.59,219.45,417.54,182.64
1993_2,321.17,220.49,277.48,218.17,411.27,183.32
1993_3,316.84,219.04,275.24,217.04,404.95,183.96
1993_4,312.32,217.52,272.95,215.85,398.35,184.61
1993_5,307.61,215.93,270.43,214.55,391.52,185.15
1993_6,302.82,214.29,267.93,213.15,384.61,185.7
1993_7,298.03,212.7,265.46,211.87,377.85,186.3
1993_8,293.08,211.02,262.85,210.59,370.66,186.97
1993_9,288.02,209.34,260.25,209.09,363.53,187.5
1993_10,282.76,207.59,257.45,207.64,356.18,188.03
1993_11,277.42,205.76,254.62,206.07,348.67,188.53
1993_12,271.92,203.93,251.62,204.51,340.99,188.99
1994_1,274.5,204.59,254.05,204.89,344.05,190.87
1994_2,277.06,205.27,256.46,205.3,347.07,192.67
1994_3,279.58,205.95,258.85,205.7,350.12,194.26
1994_4,281.96,206.5,261.1,205.96,352.92,195.87
1994_5,284.22,207.0,263.22,206.13,355.6,197.41
1994_6,286.44,207.48,265.36,206.26,358.21,198.96
1994_7,288.55,207.91,267.34,206.34,360.64,200.42
1994_8,290.71,208.3,269.32,206.35,363.12,201.86
1994_9,292.61,208.71,271.21,206.27,365.45,203.14
1994_10,294.37,208.93,273.01,206.14,367.59,204.53
1994_11,296.23,209.17,274.66,205.91,369.47,205.73
1994_12,297.81,209.3,276.22,205.48,371.35,206.87
1995_1,302.22,211.72,281.17,209.29,376.62,211.61
1995_2,306.7,214.19,286.23,213.08,382.15,216.29
1995_3,311.21,216.68,291.2,216.9,387.38,220.85
1995_4,315.6,219.14,296.11,220.64,392.56,225.35
1995_5,319.91,221.53,300.84,224.15,397.65,229.76
1995_6,324.26,223.96,305.67,227.74,402.74,234.23
1995_7,328.61,226.36,310.5,231.34,407.94,238.7
1995_8,333.04,228.79,315.37,234.91,413.19,243.14
1995_9,337.35,231.21,320.14,238.44,418.23,247.57
1995_10,341.7,233.61,324.97,242.0,423.37,252.05
1995_11,345.9,235.94,329.62,245.4,428.3,256.35
1995_12,350.12,238.28,334.33,248.77,433.15,260.66
1996_1,355.36,241.35,337.67,250.8,439.16,261.66
1996_2,360.52,244.39,341.09,252.85,445.12,262.62
1996_3,365.73,247.43,344.44,254.97,451.02,263.7
1996_4,370.75,250.35,347.64,256.74,456.74,264.36
1996_5,375.83,253.32,350.97,258.73,462.44,265.35
1996_6,380.69,256.21,354.11,260.51,468.0,266.15
1996_7,385.68,259.12,357.4,262.42,473.55,267.05
1996_8,390.55,261.99,360.48,264.29,479.04,267.93
1996_9,395.43,264.89,363.63,266.09,484.51,268.78
1996_10,400.3,267.72,366.89,267.99,490.09,269.68
1996_11,405.03,270.53,369.95,269.71,495.36,270.51
1996_12,409.68,273.24,372.84,271.38,500.53,271.28
